part,blockNum,targetName,targetFile,foilFile,whenTargetName,isMask,whenMask,picDurationType,picDurationSec,targetPos,picFile1,picFile2,picFile3,picFile4,picFile5,picFile6,isTargetPresent,whichTarget
practice,-1,typewriter,typewriter1,typewriter2,before,0,before,long,0.083,3,Acomputer9,22949719.thl,typewriter1,ASAFE,trapezebars,26374767.thl,1,left
practice,-1,chair,chair2,chair1,before,1,before,long,0.083,3,ABIRDHOU9,26390325.thl,chair2,ATOOTHBR3,ATELEBO13,26428540.thl,1,left
practice,-1,toy airplane,toyairplane1,toyairplane2,before,1,before,long,0.083,2,Arecyclingbox,toyairplane1,licorice,ACENTRIF5,ACANDLE30,ALINTREMO,1,right
practice,-1,pie,pie2,pie1,before,1,before,long,0.083,2,BeautyNBeast,pie2,ABABYCUP3,AKNIFECOL,26425025.thl,Atool221,1,right
practice,-1,chapstick,chapstick1,chapstick2,before,0,before,long,0.083,3,ATALSTAN3,ALITTERB2,chapstick1,dftslturapr,ATAPEDIS7,8026164.thl,1,left
practice,-1,icecream,icecream1,icecream2,before,0,before,long,0.083,2,ABOWCASE,icecream1,AATOMODEL,Apyramid3,cd2-a,Aglass58,1,right
test,0,dryer,dryer2,dryer1,before,0,before,long,0.083,4,AFIREPANT,26422598.thl,ASALTPEPP,dryer2,ACROQUET2,Apercussioni3,1,right
test,0,potato chips,potatochips2,potatochips1,before,1,before,long,0.083,4,Achick9,AFISH20,APHARAOH,potatochips2,ABABYSPOO,AWALKMAN2,1,left
test,0,mailbox,NA,NA,before,1,before,long,0.083,-1,ASKIHOLD,Abagofherbs,lollipops,AJEWISHTA,Atoydoll12,AARMCHA25,0,NA
test,0,stapler,NA,NA,before,0,before,long,0.083,-1,22824840.thl,Awaffle3,APHONEFA2,ATOWRACK3,kermitthefrog,26432899.thl,0,NA
test,0,corkscrew,corkscrew2,corkscrew1,before,0,before,long,0.083,2,sportsillustrated,corkscrew2,AELECRAZ7,AOVALFRAM,26429097.thl,pinecone02,1,right
test,0,fridge,fridge1,fridge2,before,0,before,long,0.083,4,AEAREXAM2,AANTSTO12,Aeggcup224,fridge1,Acroissant,8027656.thl,1,left
test,0,yarn,yarn1,yarn2,before,0,before,long,0.083,3,AWEIGHT7,Abreakpl2,yarn1,26372690.thl,26423477.thl,surfboard,1,left
test,0,fan,fan1,fan2,before,1,before,long,0.083,2,26467443.thl,fan1,Agreenlighter,Acrayonsinabo,chocolatebar,AANTTRUCK,1,right
test,0,microwave,microwave1,microwave2,before,1,before,long,0.083,5,ATHERMO12,Avideocamera2,ATOWELRA3,AFRYPAN7,microwave1,AWASHRACK,1,right
test,0,bicycle,bicycle1,bicycle2,before,0,before,long,0.083,5,AEAREXAM2,26372669.thl,Abackpack11,Acampingtoolk,bicycle1,23077768.thl,1,left
test,0,muffin,muffin2,muffin1,before,0,before,long,0.083,3,AKEYHOL10,22825932.thl,muffin2,ATHERMO4,Agreenplastic,Abagofherbs,1,right
test,0,highlighter,highlighter2,highlighter1,before,1,before,long,0.083,3,ASWANWHIT,ARECORDSY,highlighter2,ADOORHAN8,Astaircase2,Afrenchtoast5,1,left
test,0,toy dinosaur,toydinosaur1,toydinosaur2,before,1,before,long,0.083,4,Adiamondring3,AHOOK11,26428576.thl,toydinosaur1,26433849.thl,Adice10,1,right
test,0,santa hat,santahat2,santahat1,before,0,before,long,0.083,5,Atintelephone,ALIONWALK,34936916.thl,26375896.thl,santahat2,Areceptacle3,1,right
test,0,flask,NA,NA,before,1,before,long,0.083,-1,22875384.thl,AGARBCAN,Abandleaders2,26687931.thl,Atoyfurnitu14,ACLOSET4,0,NA
test,0,glass,glass1,glass2,before,0,before,long,0.083,3,AWINEJUG3,Abucketwithcl,glass1,Acomputer11,B_makeupbag,Brusselssprouts,1,left
test,0,money,money2,money1,before,1,before,long,0.083,5,Atwowayradio2,Aleatherbeltp,eutslfl,kermitthefrog,money2,Abicyclepump2,1,left
test,0,fishbowl,fishbowl1,fishbowl2,before,0,before,long,0.083,3,26374798.thl,Alifeves2,fishbowl1,Atropicalpine,26369923.thl,AGARLICCO,1,left
test,0,anchor,NA,NA,before,0,before,long,0.083,-1,26384637.thl,AANTMILK,AASPHEQUA,ABATHTAP,23028486.thl,26369923.thl,0,NA
test,0,headphones,NA,NA,before,0,before,long,0.083,-1,Abreastpump2,radish,gingerbreadcookie,Atintelephone,ASEWING,Aradio24,0,NA
