part,blockNum,targetName,targetFile,foilFile,whenTargetName,isMask,whenMask,picDurationType,picDurationSec,targetPos,picFile1,picFile2,picFile3,picFile4,picFile5,picFile6,isTargetPresent,whichTarget
practice,-1,feather,feather2,feather1,before,0,before,long,0.083,2,26394018.thl,feather2,26428576.thl,APARSLEY,fortune-cookie,AGARLICCO,1,left
practice,-1,chip bag,chipbag1,chipbag2,before,1,before,long,0.083,4,Aconferencer3,26374135.thl,ASPRITZER,chipbag1,23077768.thl,A52ZX,1,left
practice,-1,teapot,teapot1,teapot2,before,1,before,long,0.083,4,Apump4,ATVLAMP,makeupfoundation,teapot1,26384554.thl,Aframe196,1,right
practice,-1,soap dispenser,soapdispenser1,soapdispenser2,before,0,before,long,0.083,4,ABALLER29,ABAT,ABAPITCHS,soapdispenser1,Aseat3,AGUINEAP2,1,left
practice,-1,puppet,puppet2,puppet1,before,1,before,long,0.083,4,Askirt3,eutslfl,ACAMLENSE,puppet2,Astaircase2,trapezebars,1,right
practice,-1,scanner,scanner1,scanner2,before,0,before,long,0.083,3,Aconferencer3,whitemalerobe,scanner1,Ababytableand,AAIRPRES4,promdress,1,right
test,0,camera,camera1,camera2,before,0,before,long,0.083,5,ACROQUET2,Atintelephone,AWOODSPO3,26463767.thl,camera1,ASEWING,1,right
test,0,corkscrew,NA,NA,before,1,before,long,0.083,-1,Acampingtoolk,9821274.thl,ABOY,AHEATER,AALFALFA,26439074.thl,0,NA
test,0,park meter,parkmeter2,parkmeter1,before,1,before,long,0.083,5,ACROQUET2,Avideocamera2,Apaintedwood3,Abicyclehand5,parkmeter2,AJEWELBO3,1,right
test,0,sugar,NA,NA,before,1,before,long,0.083,-1,Arunningshoe4,APANCAKE3,dustpan02,22851864.thl,ATISSUE,AHEATER,0,NA
test,0,anchor,anchor1,anchor2,before,1,before,long,0.083,4,picFile,AHARP,APIPE8,anchor1,sandbox,AMUFFIPAN,1,left
test,0,chapstick,chapstick2,chapstick1,before,0,before,long,0.083,2,ALIQBOOK,chapstick2,Apedestal3,chunkysoup,ADINROO16,26421536.thl,1,left
test,0,pencil sharpener,pencilsharpener1,pencilsharpener2,before,1,before,long,0.083,4,Amonkey5,ACOFFGRI9,Adalmatiandog,pencilsharpener1,Aclock213,Abinder6,1,left
test,0,bracelet,bracelet2,bracelet1,before,0,before,long,0.083,2,26418799.thl,bracelet2,Aflask19,elecmap,marshmallows,AGERMANH4,1,right
test,0,gardening hoe,gardeninghoe2,gardeninghoe1,before,0,before,long,0.083,2,pencil-a,gardeninghoe2,AARTOOTH2,ABREASPU2,Areceptacle3,ALITTERB2,1,left
test,0,cup,cup2,cup1,before,1,before,long,0.083,3,26433387.thl,Adryflo15,cup2,Asign7,Aalligator4,tuba1,1,right
test,0,pizza,pizza2,pizza1,before,0,before,long,0.083,5,Awoodenhamme8,Asantaclaus2,Azucchini9,23028486.thl,pizza2,AASPHALT,1,right
test,0,apple,NA,NA,before,1,before,long,0.083,-1,Achickendinne,dftslturapr,ASTEPPER,APIESERVE,Awoodplaner2,ALIONWALK,0,NA
test,0,wine,NA,NA,before,0,before,long,0.083,-1,26374346.thl,26421538.thl,ABELL7,AWASHPART,E_tractor,whiteboard,0,NA
test,0,mailbox,mailbox2,mailbox1,before,1,before,long,0.083,3,Abackpack11,26424443.thl,mailbox2,Abasketofbrea,ASTAR,26685948.thl,1,left
test,0,ladder,ladder1,ladder2,before,1,before,long,0.083,3,23076640.thl,ANAILFILE,ladder1,Atoyworm,Atoyelephant,ACAMLENSE,1,left
test,0,fishbowl,NA,NA,before,1,before,long,0.083,-1,Heatpad,AMANCLIP5,AGARBCAN,Adress6,ABACKSPAC,Aeggcup224,0,NA
test,0,dryer,dryer2,dryer1,before,0,before,long,0.083,3,AMUFFIPAN,petfood,dryer2,Atoytaxi3,Aacupuncture2,potatomr,1,right
test,0,tissues,tissues1,tissues2,before,1,before,long,0.083,2,AJUICER,tissues1,airbottle1,ASWANWHIT,AGARLICCO,APOTPBAG2,1,right
test,0,picture frame,NA,NA,before,0,before,long,0.083,-1,AMILPHONE,Acrayonsinabo,Acreamer35,Hammock,ARECORDSY,AWALKMAN2,0,NA
test,0,kettle,kettle1,kettle2,before,1,before,long,0.083,3,Ascanner11,Aradio24,kettle1,Agrilledmeata,8257947.thl,Afrenchtoast5,1,right
test,0,icecream,icecream1,icecream2,before,0,before,long,0.083,3,AWOODMAS9,ASAFE,icecream1,Aboot9,Acanoe19,ATOASTOV2,1,right
test,0,chip,chip1,chip2,before,1,before,long,0.083,4,Acabinetdraw8,snail,Acrayonsinabo,chip1,AASPHEQUA,Atoy35,1,left
test,0,headphones,headphones2,headphones1,before,1,before,long,0.083,5,Apercussion16,tires,orientalvase,Aicecrusher2,headphones2,AARTIVE6,1,right
test,0,suitcase,suitcase1,suitcase2,before,1,before,long,0.083,5,36407726.thl,AABSTRACT,26431734.thl,Acrayonsinabo,suitcase1,Aspinningwhe2,1,left
test,0,fridge,fridge2,fridge1,before,0,before,long,0.083,5,ADENSYRIN,ABATHSALT,Amagnifyinglo,Alatch7,fridge2,Adice10,1,right
test,0,pliers,pliers2,pliers1,before,1,before,long,0.083,2,Acarjack2,pliers2,26684634.thl,ACUSHIO60,Acompactdisc2,AWEDCOU19,1,right
test,0,soap dish,NA,NA,before,0,before,long,0.083,-1,matchbook,dftslpi,8055554.thl,AHOSPBED,AMILMARK2,22949719.thl,0,NA
test,0,mixer,mixer1,mixer2,before,0,before,long,0.083,5,26369923.thl,Acactus58,Asword138,Acardboardpan,mixer1,Abasketandch2,1,right
test,0,soccer ball,soccerball2,soccerball1,before,0,before,long,0.083,4,Afeatherdust2,ATIE16,8255030.thl,soccerball2,AWEIGHT11,26375896.thl,1,left
test,0,bicycle,bicycle2,bicycle1,before,0,before,long,0.083,3,AWISHWELL,Acactus58,bicycle2,22921112.thl,26427983.thl,AHOOK11,1,right
test,0,calculator,calculator1,calculator2,before,0,before,long,0.083,4,AHUNTVES2,AWINTERH2,Acampingtoolk,calculator1,AARMYTRUK,ABATHTAP,1,right
test,0,laptop,NA,NA,before,0,before,long,0.083,-1,26419670.thl,Apilldispens3,26442719.thl,Agreenplastic,AGARLICCO,ALEGCAST3,0,NA
test,1,sunglasses,sunglasses2,sunglasses1,before,1,before,short,0.025,5,dvdmovie,Akeyboard3,Achickendinne,Abloodorange,sunglasses2,ASATELLIT,1,right
